Controller Employees , Action = Index , Date = 30-12-2020 09:59:06 , --> Before -- 
Controller Employees , Action = Index , Date = 30-12-2020 09:59:07 , --> After -- 
Controller Employees , Action = Search , Date = 30-12-2020 09:59:08 , --> Before -- 
Controller Employees , Action = Search , Date = 30-12-2020 09:59:08 , --> After -- 
Controller Dept , Action = Index , Date = 30-12-2020 09:59:10 , --> Before -- 
Controller Dept , Action = Index , Date = 30-12-2020 09:59:10 , --> After -- 
Controller Dept , Action = Display , Date = 30-12-2020 10:01:00 , --> Before -- 
Controller Dept , Action = Display , Date = 30-12-2020 10:01:01 , --> After -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:01:03 , --> Before -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:01:03 , --> After -- 
Controller Dept , Action = Detalis , Date = 30-12-2020 10:09:03 , --> Before -- 
Controller Dept , Action = Detalis , Date = 30-12-2020 10:09:03 , --> After -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:09:07 , --> Before -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:09:07 , --> After -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:21:45 , --> Before -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:21:48 , --> After -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:25:55 , --> Before -- 
Controller Dept , Action = Index , Date = 30-12-2020 10:25:55 , --> After -- 
Controller Employees , Action = Search , Date = 30-12-2020 11:04:21 , --> Before -- 
Controller Employees , Action = Search , Date = 30-12-2020 11:04:21 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:13 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:14 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:24 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:24 , --> After -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:25 , --> Before -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:25 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:28 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:28 , --> After -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:32 , --> Before -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:32 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:35 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:35 , --> After -- 
Controller Employees , Action = Search , Date = 02-01-2021 19:37:40 , --> Before -- 
Controller Employees , Action = Search , Date = 02-01-2021 19:37:40 , --> After -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:42 , --> Before -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:37:42 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:42 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:37:42 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:39:15 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:39:16 , --> After -- 
Controller Dept , Action = Detalis , Date = 02-01-2021 19:39:59 , --> Before -- 
Controller Dept , Action = Detalis , Date = 02-01-2021 19:39:59 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:40:01 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:40:01 , --> After -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:40:09 , --> Before -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:40:09 , --> After -- 
Controller Employees , Action = Details , Date = 02-01-2021 19:40:14 , --> Before -- 
Controller Employees , Action = Details , Date = 02-01-2021 19:40:14 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:41:48 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:41:48 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:41:53 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:41:53 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:41:54 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:42:00 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:42:51 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:42:52 , --> After -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:42:56 , --> Before -- 
Controller Employees , Action = Index , Date = 02-01-2021 19:42:56 , --> After -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:42:58 , --> Before -- 
Controller Dept , Action = Index , Date = 02-01-2021 19:42:58 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:42:59 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:43:00 , --> After -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:43:01 , --> Before -- 
Controller Dept , Action = Delete , Date = 02-01-2021 19:43:03 , --> After -- 
